device_id,location,volume_l,sensor_id,heater_profile,measurement_step,temp_c,humidity_pct,pressure_hpa,gas_resistance_ohm,gas_valid,heat_stable,timestamp
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,9,32.73,15.89,93975.19,569205,1,1,4403024
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,10,30.26,18.11,93943.09,198180,1,1,4410396
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,10,30.82,17.80,93965.45,119319,1,1,4410398
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,10,31.51,16.71,93961.73,109238,1,1,4410399
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,10,31.69,16.45,93987.98,108199,1,1,4410421
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,10,32.75,16.14,93961.98,52892,1,1,4410433
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,10,32.06,17.30,93978.38,86079,1,1,4410445
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,10,32.68,16.27,93987.23,89604,1,1,4410467
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,7,HP-504,10,32.54,16.32,93972.49,73860,1,1,4410489
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,0,HP-411,1,30.27,18.03,93943.02,4449755,1,1,4417861
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,1,HP-412,1,30.84,17.71,93965.20,3385124,1,1,4417863
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,2,HP-413,1,31.58,16.57,93961.32,8229030,1,1,4417875
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,3,HP-414,1,31.73,16.39,93990.45,10984915,1,1,4417886
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,4,HP-501,1,32.74,16.04,93969.65,24859,1,1,4417898
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,5,HP-502,1,32.07,17.14,93980.85,29217,1,1,4417920
ESP32_BME688_CAFE_001,Coffee_Lab_Station_1,1.50,6,HP-503,1,32.70,16.14,93989.48,29955,1,1,4417941
